
vehicle_count,average_speed,waiting_time,traffic_density,time_of_day,day_of_week,queue_length,pedestrian_count,weather_condition,road_incident,congestion
76,15.74,21.74,0.886,10,6,65.06,18,1,1,HIGH
50,25.46,15.26,0.636,20,2,43.24,6,1,0,HIGH
55,22.73,12.21,0.624,2,4,46.51,11,0,0,HIGH
72,16.95,22.39,0.968,8,1,67.07,24,1,1,HIGH
46,22.34,15.26,0.714,21,5,34.56,14,2,0,HIGH
62,24.51,18.96,0.896,14,0,52.23,19,1,0,HIGH
67,18.75,19.7,0.824,4,5,55.61,4,0,1,HIGH
18,30.28,6.11,0.269,21,4,12.92,24,2,1,MEDIUM
4,34.23,0.68,0.057,21,2,0.57,18,1,0,LOW
24,35.6,8.05,0.306,8,3,19.04,1,2,0,LOW
23,33.34,7.06,0.38,4,3,21.26,14,0,0,LOW
70,21.51,21.83,0.796,13,0,59.36,27,0,0,HIGH
73,16.12,19.43,0.976,14,0,63.13,14,2,1,HIGH
0,28.09,2.59,0.0,10,5,2.79,11,2,0,LOW
40,30.95,13.56,0.585,17,4,33.89,0,2,0,MEDIUM
66,25.31,20.13,0.836,15,1,58.68,28,0,0,HIGH
10,32.1,3.7,0.085,18,3,14.25,6,0,0,LOW
64,23.63,21.3,0.817,23,5,58.57,18,0,1,HIGH
9,36.93,0.36,0.157,18,4,4.56,13,2,1,LOW
37,31.02,13.51,0.465,3,3,33.81,16,0,1,MEDIUM
66,25.09,21.09,0.854,0,6,56.04,3,2,1,HIGH
24,27.44,9.43,0.269,23,3,23.29,25,1,1,MEDIUM
27,36.63,10.52,0.209,19,0,27.86,5,2,0,MEDIUM
22,23.93,6.53,0.329,15,3,16.8,19,0,1,MEDIUM
58,26.55,17.59,0.767,6,1,50.51,7,2,0,HIGH
20,33.07,9.19,0.259,19,4,22.93,20,0,0,LOW
80,21.77,25.48,1.0,2,0,69.76,2,0,1,HIGH
36,36.48,12.6,0.512,15,6,33.33,4,0,0,MEDIUM
38,34.06,8.85,0.448,9,4,28.77,27,0,1,MEDIUM
40,20.47,14.54,0.458,20,5,34.22,18,0,1,HIGH
47,16.22,18.08,0.576,16,3,42.18,25,0,1,HIGH
44,29.4,16.84,0.621,7,0,47.44,11,2,1,HIGH
41,20.9,14.06,0.429,18,3,35.91,23,1,0,MEDIUM
80,17.34,20.51,1.0,16,3,66.71,2,0,0,HIGH
65,24.9,22.56,0.774,6,2,57.34,22,2,0,HIGH
64,12.7,19.55,0.734,6,1,56.03,4,1,1,HIGH
56,12.13,11.35,0.776,9,1,47.98,19,1,0,HIGH
50,25.3,16.94,0.619,12,0,45.73,14,1,1,HIGH
27,29.28,5.83,0.259,6,3,28.57,19,2,0,MEDIUM
80,16.17,21.16,0.978,16,1,69.34,8,0,1,HIGH
37,27.05,10.77,0.518,12,4,36.71,3,1,0,MEDIUM
17,26.96,9.94,0.284,4,1,18.7,23,0,0,LOW
68,12.47,20.11,0.824,16,3,61.48,14,1,1,HIGH
12,31.53,6.04,0.174,1,6,7.69,3,2,1,LOW
69,14.96,25.69,0.905,22,3,63.33,12,0,0,HIGH
49,16.0,19.71,0.574,18,5,45.92,0,2,0,HIGH
9,35.55,4.26,0.134,2,4,8.13,27,1,0,LOW
3,34.03,2.24,0.036,19,5,0.0,30,2,0,LOW
36,29.11,8.93,0.418,7,0,33.2,12,2,0,MEDIUM
2,29.61,0.82,0.0,15,4,0.73,9,0,0,LOW
11,29.29,6.14,0.142,5,1,10.07,19,0,1,LOW
41,20.98,14.47,0.514,7,2,36.62,15,2,0,HIGH
78,13.41,24.12,0.941,0,6,68.39,23,1,0,HIGH
37,27.84,14.85,0.437,15,2,36.03,6,1,0,MEDIUM
65,16.79,18.27,0.879,14,3,52.65,11,0,1,HIGH
74,20.5,22.58,0.938,2,3,62.55,6,0,1,HIGH
66,22.18,22.31,0.878,6,0,60.46,29,2,1,HIGH
50,34.13,17.46,0.697,15,2,45.91,12,1,1,HIGH
35,20.34,14.48,0.473,19,1,32.06,19,0,1,HIGH
41,30.42,14.47,0.649,13,2,35.66,24,2,1,HIGH
21,29.93,7.11,0.213,3,0,16.46,19,0,0,LOW
40,26.13,14.11,0.549,14,5,36.29,1,2,0,MEDIUM
30,21.15,7.89,0.356,5,3,29.28,30,2,1,MEDIUM
20,28.3,3.5,0.361,10,0,12.93,25,1,0,LOW
80,21.12,25.85,1.0,11,6,76.08,9,1,1,HIGH
0,34.59,1.86,0.0,5,1,3.65,30,0,1,LOW
7,33.87,4.73,0.029,19,2,6.38,27,1,1,LOW
15,30.25,1.96,0.227,17,3,14.02,17,2,1,LOW
78,23.61,22.93,1.0,2,3,63.96,13,2,1,HIGH
56,22.57,16.18,0.744,11,4,43.71,11,2,0,HIGH
71,8.38,19.72,0.883,2,3,57.66,7,2,1,HIGH
16,28.02,0.84,0.227,17,4,10.48,7,1,0,LOW
58,12.4,17.4,0.764,9,2,50.07,3,2,1,HIGH
